ID_A,ID_B,Level,label
118,565,Moderate,1
565,120,Moderate,1
565,129,Moderate,1
565,146,Moderate,1
565,157,Moderate,1
565,171,Moderate,1
565,176,Moderate,1
191,565,Moderate,1
565,208,Minor,2
565,244,Moderate,1
565,254,Moderate,1
565,263,Moderate,1
565,267,Moderate,1
282,565,Moderate,1
286,565,Moderate,1
287,565,Moderate,1
303,565,Moderate,1
304,565,Moderate,1
306,565,Moderate,1
565,309,Moderate,1
321,565,Moderate,1
565,325,Moderate,1
332,565,Moderate,1
565,346,Moderate,1
347,565,Minor,2
565,358,Moderate,1
565,361,Moderate,1
565,375,Major,0
376,565,Moderate,1
377,565,Moderate,1
565,383,Moderate,1
386,565,Moderate,1
565,392,Moderate,1
565,399,Moderate,1
420,565,Minor,2
452,565,Moderate,1
457,565,Moderate,1
458,565,Moderate,1
460,565,Moderate,1
565,469,Moderate,1
565,470,Moderate,1
565,472,Moderate,1
565,473,Moderate,1
565,478,Moderate,1
479,565,Moderate,1
482,565,Minor,2
492,565,Moderate,1
565,505,Moderate,1
507,565,Minor,2
509,565,Moderate,1
565,510,Moderate,1
565,511,Moderate,1
517,565,Moderate,1
565,526,Moderate,1
527,565,Moderate,1
530,565,Moderate,1
565,531,Moderate,1
555,565,Minor,2
565,563,Moderate,1
574,565,Minor,2
565,585,Moderate,1
565,587,Moderate,1
590,565,Moderate,1
601,565,Moderate,1
603,565,Moderate,1
606,565,Minor,2
608,565,Moderate,1
565,617,Moderate,1
565,618,Moderate,1
620,565,Moderate,1
565,624,Moderate,1
565,627,Moderate,1
641,565,Moderate,1
565,646,Moderate,1
647,565,Moderate,1
565,650,Moderate,1
565,653,Moderate,1
565,654,Moderate,1
656,565,Moderate,1
565,657,Moderate,1
565,660,Moderate,1
666,565,Moderate,1
667,565,Moderate,1
669,565,Moderate,1
565,678,Moderate,1
679,565,Moderate,1
565,680,Moderate,1
565,684,Moderate,1
565,698,Moderate,1
700,565,Moderate,1
565,704,Minor,2
705,565,Moderate,1
565,708,Moderate,1
565,711,Moderate,1
715,565,Moderate,1
565,717,Moderate,1
723,565,Minor,2
750,565,Moderate,1
565,755,Moderate,1
565,763,Moderate,1
565,764,Moderate,1
565,767,Moderate,1
565,774,Moderate,1
565,775,Minor,2
776,565,Minor,2
565,788,Moderate,1
565,790,Moderate,1
565,792,Moderate,1
565,796,Moderate,1
801,565,Moderate,1
565,821,Moderate,1
565,813,Moderate,1
565,802,Moderate,1
565,834,Moderate,1
565,836,Moderate,1
